method,OTUs,proportion
uHC(AR),110,3
uHC(AR),116,5
uHC(AR),121,4
uHC(AR),127,8
uHC(AR),13,4
uHC(AR),135,8
uHC(AR),141,10
uHC(AR),143,16
uHC(AR),153,3
uHC(AR),158,4
uHC(AR),159,6
uHC(AR),165,11
uHC(AR),166,5
uHC(AR),178,7
uHC(AR),209,5
uHC(AR),212,8
uHC(AR),217,1
uHC(AR),223,4
uHC(AR),224,5
uHC(AR),23,8
uHC(AR),236,6
uHC(AR),277,653
uHC(AR),278,5
uHC(AR),286,11
uHC(AR),290,4
uHC(AR),291,7
uHC(AR),294,6
uHC(AR),308,11
uHC(AR),309,5
uHC(AR),316,2
uHC(AR),330,5
uHC(AR),34,5
uHC(AR),362,8
uHC(AR),373,21
uHC(AR),374,11
uHC(AR),39,5
uHC(AR),409,5
uHC(AR),424,5
uHC(AR),431,4
uHC(AR),456,4
uHC(AR),463,6
uHC(AR),477,8
uHC(AR),480,7
uHC(AR),483,5
uHC(AR),490,6
uHC(AR),51,5
uHC(AR),516,3
uHC(AR),528,7
uHC(AR),537,5
uHC(AR),544,2
uHC(AR),555,23
uHC(AR),575,7
uHC(AR),581,8
uHC(AR),588,8
uHC(AR),590,37
uHC(AR),593,23
uHC(AR),598,4
uHC(AR),606,6
uHC(AR),610,7
uHC(AR),621,7
uHC(AR),64,3
uHC(AR),648,6
uHC(AR),663,7
uHC(AR),67,9
uHC(AR),671,7
uHC(AR),69,9
uHC(AR),711,678
uHC(AR),72,6
uHC(AR),722,7
uHC(AR),726,5
uHC(AR),74,3
uHC(AR),747,3
uHC(AR),752,2
uHC(AR),755,6
uHC(AR),774,7
uHC(AR),775,1
uHC(AR),818,6
uHC(AR),821,5
uHC(AR),842,5
uHC(AR),844,9
uHC(AR),847,10
uHC(AR),85,7
uHC(AR),854,3
uHC(AR),859,2
uHC(AR),865,5
uHC(AR),871,16
uHC(AR),880,4
uHC(AR),89,5
uHC(AR),890,5
uHC(AR),895,5
uHC(AR),90,8
uHC(AR),905,7
uHC(AR),908,14
uHC(AR),910,9
uHC(AR),923,5
uHC(AR),928,6
uHC(AR),937,4
uHC(AR),956,5
uHC(AR),985,4
uHC(AR),41,0
uHC(EX),110,1
uHC(EX),116,4
uHC(EX),121,4
uHC(EX),127,7
uHC(EX),13,5
uHC(EX),135,2
uHC(EX),141,10
uHC(EX),143,9
uHC(EX),153,4
uHC(EX),158,5
uHC(EX),159,4
uHC(EX),165,10
uHC(EX),166,6
uHC(EX),178,7
uHC(EX),209,3
uHC(EX),212,7
uHC(EX),223,5
uHC(EX),224,3
uHC(EX),23,5
uHC(EX),236,4
uHC(EX),277,724
uHC(EX),278,6
uHC(EX),286,5
uHC(EX),290,6
uHC(EX),291,6
uHC(EX),294,9
uHC(EX),308,9
uHC(EX),309,6
uHC(EX),316,5
uHC(EX),330,5
uHC(EX),34,5
uHC(EX),362,6
uHC(EX),373,7
uHC(EX),374,11
uHC(EX),39,1
uHC(EX),409,2
uHC(EX),41,1
uHC(EX),424,5
uHC(EX),431,2
uHC(EX),456,8
uHC(EX),463,7
uHC(EX),477,7
uHC(EX),480,5
uHC(EX),483,8
uHC(EX),490,4
uHC(EX),51,5
uHC(EX),516,6
uHC(EX),528,9
uHC(EX),537,3
uHC(EX),544,4
uHC(EX),555,7
uHC(EX),575,3
uHC(EX),581,7
uHC(EX),588,5
uHC(EX),590,12
uHC(EX),593,9
uHC(EX),598,5
uHC(EX),606,4
uHC(EX),610,10
uHC(EX),621,1
uHC(EX),64,5
uHC(EX),648,2
uHC(EX),663,6
uHC(EX),67,6
uHC(EX),671,6
uHC(EX),69,9
uHC(EX),711,756
uHC(EX),72,7
uHC(EX),722,4
uHC(EX),726,4
uHC(EX),74,3
uHC(EX),747,3
uHC(EX),752,4
uHC(EX),755,9
uHC(EX),774,4
uHC(EX),775,2
uHC(EX),818,5
uHC(EX),821,1
uHC(EX),842,3
uHC(EX),844,3
uHC(EX),847,12
uHC(EX),85,4
uHC(EX),854,2
uHC(EX),859,2
uHC(EX),865,6
uHC(EX),871,3
uHC(EX),880,8
uHC(EX),89,5
uHC(EX),890,3
uHC(EX),895,6
uHC(EX),90,3
uHC(EX),905,7
uHC(EX),908,10
uHC(EX),910,11
uHC(EX),923,1
uHC(EX),928,3
uHC(EX),937,4
uHC(EX),956,9
uHC(EX),985,4
uHC(EX),217,0
uHC(IN),110,4
uHC(IN),116,6
uHC(IN),121,3
uHC(IN),127,8
uHC(IN),13,2
uHC(IN),135,2
uHC(IN),141,9
uHC(IN),143,5
uHC(IN),153,3
uHC(IN),158,8
uHC(IN),159,5
uHC(IN),165,6
uHC(IN),166,7
uHC(IN),178,8
uHC(IN),209,2
uHC(IN),212,7
uHC(IN),217,4
uHC(IN),223,3
uHC(IN),224,1
uHC(IN),23,7
uHC(IN),236,2
uHC(IN),277,745
uHC(IN),278,5
uHC(IN),286,5
uHC(IN),290,5
uHC(IN),291,7
uHC(IN),294,6
uHC(IN),308,8
uHC(IN),309,5
uHC(IN),316,4
uHC(IN),330,4
uHC(IN),34,7
uHC(IN),362,8
uHC(IN),373,3
uHC(IN),374,12
uHC(IN),39,2
uHC(IN),409,2
uHC(IN),41,3
uHC(IN),424,4
uHC(IN),456,7
uHC(IN),463,5
uHC(IN),477,7
uHC(IN),480,9
uHC(IN),483,6
uHC(IN),490,6
uHC(IN),51,6
uHC(IN),516,5
uHC(IN),528,5
uHC(IN),537,6
uHC(IN),544,4
uHC(IN),555,2
uHC(IN),575,3
uHC(IN),581,7
uHC(IN),588,6
uHC(IN),590,2
uHC(IN),593,3
uHC(IN),598,2
uHC(IN),606,9
uHC(IN),610,10
uHC(IN),621,1
uHC(IN),64,7
uHC(IN),648,5
uHC(IN),663,8
uHC(IN),67,7
uHC(IN),671,8
uHC(IN),69,8
uHC(IN),711,762
uHC(IN),72,4
uHC(IN),722,3
uHC(IN),726,4
uHC(IN),74,5
uHC(IN),747,4
uHC(IN),752,4
uHC(IN),755,6
uHC(IN),774,4
uHC(IN),775,5
uHC(IN),818,5
uHC(IN),821,2
uHC(IN),842,2
uHC(IN),844,1
uHC(IN),847,15
uHC(IN),85,9
uHC(IN),854,3
uHC(IN),859,3
uHC(IN),865,3
uHC(IN),871,4
